Date,Open,High,Low,Close,Volume,Date Value
14-Jun-17,52.42,54.26,52.16,52.63,72068964,42900
13-Jun-17,53.65,54.08,52,52,157375730,42899
12-Jun-17,53.79,54.55,52.6,53.12,57753270,42898
9-Jun-17,56.16,57.39,53.66,54.02,74186692,42895
8-Jun-17,55.35,55.94,53.49,55.71,75397854,42894
7-Jun-17,50.47,50.72,50.28,50.55,25993519,42893
6-Jun-17,50.42,50.76,50.3,50.5,27315854,42892
5-Jun-17,50.52,50.88,50.4,50.6,16600752,42891
2-Jun-17,50.53,50.75,50.31,50.6,9857195,42888
1-Jun-17,50.49,50.7,50.07,50.65,7776690,42887
31-May-17,50.6,50.65,49.96,50.32,8750770,42886
30-May-17,50.67,50.94,50.5,50.56,8400168,42885
26-May-17,50.5,50.74,50.32,50.67,6049533,42881
25-May-17,50.48,50.75,50.05,50.6,11961672,42880
24-May-17,50.18,50.59,49.9,50.32,12238852,42879
23-May-17,50.44,50.9,50.26,50.31,7342030,42878
22-May-17,50.51,51.08,50.22,50.65,9696647,42877
19-May-17,50.03,51.23,50.01,50.18,11181962,42874
18-May-17,48.68,50.03,47.74,49.63,13737509,42873
17-May-17,50.7,50.7,49.44,49.65,20954125,42872
16-May-17,50.05,51.12,50.03,50.96,19423578,42871
15-May-17,49.71,49.94,49.48,49.86,9129285,42870
12-May-17,49.75,49.75,49.44,49.65,6185780,42867
11-May-17,49.45,49.71,49.14,49.69,6142929,42866
10-May-17,49.4,49.6,49.14,49.4,8360446,42865
9-May-17,49.14,49.67,48.94,49.49,10279065,42864
8-May-17,48.71,48.96,48.51,48.85,10059557,42863
5-May-17,48.45,48.66,48.27,48.49,7835467,42860
4-May-17,48.63,48.68,48.16,48.45,6208893,42859
3-May-17,49.19,49.19,48.17,48.54,4702411,42858
2-May-17,48.72,49.3,48.72,49.09,6106265,42857
1-May-17,48.22,48.78,48.12,48.61,6386542,42856
28-Apr-17,48.45,48.5,48.16,48.21,4925538,42853
27-Apr-17,48.08,48.47,48.02,48.36,10635392,42852
26-Apr-17,48.4,48.47,48.17,48.26,4053137,42851
25-Apr-17,48.29,48.46,48.16,48.4,10288234,42850
24-Apr-17,47.89,48.2,47.75,48.15,9860363,42849
21-Apr-17,47.73,47.77,47.37,47.52,7054995,42846
20-Apr-17,47.25,47.84,47.07,47.67,10925101,42845
19-Apr-17,47.6,47.88,46.92,47,12179541,42844
18-Apr-17,47.25,47.74,47.14,47.56,9341939,42843
17-Apr-17,47.02,47.42,46.92,47.39,3857065,42842
13-Apr-17,46.85,47.11,46.61,46.9,3762132,42838
12-Apr-17,46.8,47.16,46.67,46.83,5127330,42837
11-Apr-17,47.03,47.21,46.42,46.79,5593867,42836
10-Apr-17,46.49,47.42,46.4,47.21,7818042,42835
7-Apr-17,46.23,46.53,45.96,46.44,4629814,42832
6-Apr-17,46.38,46.43,46.04,46.28,4124602,42831
5-Apr-17,46.41,46.92,46.24,46.38,4840299,42830
4-Apr-17,46.3,46.47,46.12,46.23,4758401,42829
3-Apr-17,46.5,46.85,46.16,46.43,7675378,42828
31-Mar-17,46.52,46.7,46.27,46.41,7814123,42825
30-Mar-17,46.8,47.04,46.6,46.62,3449091,42824
29-Mar-17,46.52,46.84,46.3,46.78,4403402,42823
28-Mar-17,46.33,46.76,46.24,46.57,4630801,42822
27-Mar-17,45.92,46.48,45.74,46.4,6016624,42821
24-Mar-17,46.65,46.86,46.14,46.4,5607667,42818
23-Mar-17,46.13,46.78,46.09,46.6,8297815,42817
22-Mar-17,45.61,46.14,45.6,46.06,6773395,42816
21-Mar-17,47,47.19,45.68,45.77,6469439,42815
20-Mar-17,46.62,47.16,46.52,46.77,5822991,42814
17-Mar-17,46.73,46.9,46.5,46.59,6192404,42811
16-Mar-17,46.6,46.62,46.3,46.61,3627081,42810
15-Mar-17,46.55,46.55,45.9,46.29,6279298,42809
14-Mar-17,46.41,46.76,46.19,46.37,3800294,42808
13-Mar-17,46.1,47,46.1,46.57,4702990,42807
10-Mar-17,46.2,46.2,45.75,45.98,3824529,42804
9-Mar-17,45.87,46.12,45.68,45.94,3767567,42803
8-Mar-17,45.85,46.19,45.73,45.98,3331722,42802
7-Mar-17,45.5,45.92,45.49,45.73,5116841,42801
6-Mar-17,45.61,45.69,45.39,45.64,6694863,42800
3-Mar-17,45.88,46,45.6,45.91,6758310,42797
2-Mar-17,46.02,46.13,45.62,45.94,7017056,42796
1-Mar-17,45.89,46.41,45.89,46.24,7258451,42795
28-Feb-17,45.57,45.75,45.25,45.66,7201973,42794
27-Feb-17,45.45,45.74,45.24,45.71,4006922,42793
24-Feb-17,45.14,45.55,44.95,45.55,3714785,42790
23-Feb-17,46.04,46.14,45.29,45.41,7812053,42789
22-Feb-17,45.47,46.34,45.45,45.98,7730221,42788
21-Feb-17,45.22,45.61,45.1,45.5,8115953,42787
17-Feb-17,44.95,45.34,44.79,45.1,9417191,42783
16-Feb-17,45.65,45.69,45.01,45.16,8972022,42782
15-Feb-17,45.03,46.72,44.64,45.65,22509206,42781
14-Feb-17,45.38,45.58,44.9,45.02,6676842,42780
13-Feb-17,45.08,45.57,44.94,45.46,7491311,42779
10-Feb-17,45.15,45.23,44.96,45.03,4158744,42776
9-Feb-17,44.95,45.24,44.82,45.08,3769280,42775
8-Feb-17,44.5,45.19,44.34,45.07,6531000,42774
7-Feb-17,44.43,44.59,44.19,44.37,4445846,42773
6-Feb-17,43.62,44.53,43.56,44.42,7308775,42772
3-Feb-17,43.9,43.99,43.66,43.71,6422438,42769
2-Feb-17,43.63,44,43.58,43.69,5065117,42768
1-Feb-17,44.25,44.26,43.71,43.78,5307216,42767
31-Jan-17,43.78,44.15,43.67,44.07,5153697,42766
30-Jan-17,44.22,44.22,43.7,43.93,6906121,42765
27-Jan-17,44.54,44.71,44.23,44.42,4943138,42762
26-Jan-17,44.83,45.08,44.4,44.55,9974613,42761
25-Jan-17,44.11,45,44.09,44.94,14388287,42760
24-Jan-17,43.65,44.22,43.43,43.9,24933488,42759
23-Jan-17,41.95,42.45,41.84,42.4,13662837,42758
20-Jan-17,42.33,42.54,41.86,42.05,5511713,42755
19-Jan-17,42.05,42.19,41.9,42.09,6005615,42754
18-Jan-17,42.15,42.15,41.8,42.03,3594963,42753
17-Jan-17,42.06,42.18,41.84,41.99,4779009,42752
13-Jan-17,42.11,42.46,42.02,42.27,4513026,42748
12-Jan-17,42.34,42.46,41.7,42.11,6024900,42747
11-Jan-17,42.27,42.59,42.07,42.59,6946237,42746
10-Jan-17,41.89,42.37,41.54,42.3,8111079,42745
9-Jan-17,41.17,41.66,41.12,41.34,7797445,42744
6-Jan-17,41.25,41.34,40.85,41.23,6087644,42741
5-Jan-17,40.31,41.37,40.24,41.34,13122100,42740
4-Jan-17,39,40.25,38.92,40.06,11759453,42739
3-Jan-17,39.11,39.18,38.64,38.9,6084699,42738
30-Dec-16,38.72,39,38.43,38.67,6432792,42734
29-Dec-16,38.76,38.93,38.48,38.64,4170497,42733
28-Dec-16,39.12,39.22,38.71,38.73,4428368,42732
27-Dec-16,38.59,39.06,38.5,38.92,4240285,42731
23-Dec-16,38.46,38.81,38.37,38.66,3841245,42727
22-Dec-16,38.69,38.79,38.26,38.5,11685650,42726
21-Dec-16,39.08,39.32,38.97,39.15,8296515,42725
20-Dec-16,38.4,39.18,38.24,39.16,25008427,42724
19-Dec-16,38.66,38.79,38.27,38.42,13615511,42723
16-Dec-16,38.62,39.22,38.42,38.61,21694081,42720
15-Dec-16,40,40,38.25,38.41,43669990,42719
14-Dec-16,41.44,41.53,40.83,40.91,19555694,42718
13-Dec-16,41.35,41.79,41.14,41.47,6564552,42717
12-Dec-16,41.45,41.53,41.12,41.3,4451709,42716
9-Dec-16,41.52,41.8,41.44,41.76,6836112,42713
8-Dec-16,40.66,41.6,40.42,41.41,9171707,42712
7-Dec-16,39.98,40.57,39.75,40.52,7208492,42711
6-Dec-16,40.31,40.42,39.88,39.97,6987846,42710
5-Dec-16,40.02,40.39,39.85,40.2,4408407,42709
2-Dec-16,39.77,40.32,39.58,40.07,8588544,42706
1-Dec-16,41,41.04,39.53,39.63,12624139,42705
30-Nov-16,41.62,41.67,40.88,41.02,7644360,42704
29-Nov-16,41.43,41.83,41.12,41.6,13085981,42703
28-Nov-16,40.85,41.7,40.74,41.45,6836364,42702
25-Nov-16,41.08,41.08,40.71,40.87,2586908,42699
23-Nov-16,40.91,40.98,40.54,40.96,3719257,42697
22-Nov-16,41.2,41.4,40.83,41.01,8881541,42696
21-Nov-16,41.44,41.48,40.94,41.11,11355856,42695
18-Nov-16,41.48,41.65,40.9,41.19,8138928,42692
17-Nov-16,41.34,41.65,41.2,41.45,8692013,42691
16-Nov-16,40.1,41.05,40.1,40.98,15609553,42690
15-Nov-16,39.61,40.45,39.58,40.21,13364918,42689
14-Nov-16,40.36,40.39,38.87,39.3,12692293,42688
11-Nov-16,39.84,40.52,39.37,40.42,15178907,42685
10-Nov-16,41.55,41.65,39.54,40.16,16443786,42684
9-Nov-16,40.44,41.39,40.22,41.21,24000065,42683
8-Nov-16,40.97,41.28,40.68,41.16,4229743,42682
7-Nov-16,41.17,41.23,40.86,41.05,5430744,42681
4-Nov-16,39.96,40.67,39.8,40.28,4579437,42678
3-Nov-16,40.62,40.75,40.18,40.23,8112820,42677
2-Nov-16,41.8,42.16,40.36,40.68,13019956,42676
1-Nov-16,41.13,41.34,40.69,41.33,11751521,42675
31-Oct-16,42.03,42.16,41.55,41.55,3749658,42674
28-Oct-16,42.03,42.22,41.71,41.78,6197469,42671
27-Oct-16,42.31,42.49,41.81,41.87,7240848,42670
26-Oct-16,42.26,42.44,41.95,42.08,6123026,42669
25-Oct-16,42.72,42.75,42.43,42.55,5338875,42668
24-Oct-16,42.5,42.68,42.38,42.59,4346851,42667
21-Oct-16,42.1,42.2,41.73,42.17,7194168,42664
20-Oct-16,42.69,42.69,42.07,42.38,11671022,42663
19-Oct-16,42.3,42.94,42.26,42.73,14532469,42662
18-Oct-16,42.04,42.6,41.63,41.68,19360802,42661
17-Oct-16,41.35,41.94,41.24,41.79,8620369,42660
14-Oct-16,42.04,42.25,41.4,41.44,7781258,42657
13-Oct-16,42,42.08,41.17,41.62,15689711,42656
12-Oct-16,42.6,42.78,42.05,42.36,7290843,42655
11-Oct-16,43.87,44.08,42.49,42.68,9513283,42654
10-Oct-16,43.36,44.07,43.25,43.92,6573631,42653
7-Oct-16,43.26,43.68,43.12,43.22,8502112,42650
6-Oct-16,43.64,43.82,43.37,43.68,6293908,42649
5-Oct-16,43.23,43.87,43.22,43.71,6118487,42648
4-Oct-16,43.2,43.5,42.96,43.18,8998384,42647
3-Oct-16,42.95,43.18,42.82,43.13,7965922,42646
30-Sep-16,42.74,43.25,42.72,43.1,10374757,42643
29-Sep-16,43.17,43.3,42.43,42.57,13720746,42642
28-Sep-16,43.4,43.72,43.25,43.69,7418984,42641
27-Sep-16,42.43,43.41,42.32,43.37,8765715,42640
26-Sep-16,42.38,42.74,41.85,42.29,12745119,42639
23-Sep-16,43.5,43.76,42.54,42.8,31888521,42636
22-Sep-16,43.94,44.87,43.74,44.15,33355616,42635
21-Sep-16,42.89,44.22,42.89,44.14,12313680,42634
20-Sep-16,43.24,43.38,42.66,42.79,9788923,42633
19-Sep-16,43.92,43.95,43,43.19,7887375,42632
16-Sep-16,43.94,44.02,43.47,43.67,19093930,42629
15-Sep-16,43.41,44.05,43.22,43.99,12535634,42628
14-Sep-16,42.91,43.62,42.86,43.46,11625287,42627
13-Sep-16,43.19,43.52,42.69,43.04,10132044,42626
12-Sep-16,42.28,43.65,42.18,43.46,10808806,42625
9-Sep-16,43.92,44.15,42.82,42.92,12060737,42622
8-Sep-16,44.07,44.72,44.03,44.36,7882609,42621
7-Sep-16,44.55,44.92,44.19,44.35,9109446,42620
6-Sep-16,43.5,44.85,43.5,44.71,18125776,42619
2-Sep-16,43.27,43.6,43.08,43.28,7334914,42615
1-Sep-16,42.78,43.1,42.72,42.93,5575305,42614
31-Aug-16,42.46,42.8,42.46,42.75,7715941,42613
30-Aug-16,42.28,42.74,42.28,42.58,5804080,42612
29-Aug-16,42.2,42.46,42.08,42.26,4555600,42611
26-Aug-16,42.15,42.61,41.94,42.27,6327991,42608
25-Aug-16,41.83,42.24,41.73,42.03,5360912,42607
24-Aug-16,42.5,42.77,41.79,41.91,6930295,42606
23-Aug-16,42.61,42.91,42.45,42.6,8963786,42605
22-Aug-16,42.84,42.87,42.33,42.52,6229402,42604
19-Aug-16,42.8,43.12,42.64,43.02,9460753,42601
18-Aug-16,42.69,42.97,42.58,42.9,11294419,42600
17-Aug-16,42.39,42.75,42.39,42.7,8571927,42599
16-Aug-16,42.3,42.79,41.95,42.49,13793794,42598
15-Aug-16,43.18,43.29,42.43,42.67,14441784,42597
12-Aug-16,41.28,42.98,41.28,42.94,25182851,42594
11-Aug-16,41.12,41.73,40.93,41.27,23938864,42593
10-Aug-16,39.34,39.98,39.3,39.93,12981568,42592
9-Aug-16,39.24,39.31,39.1,39.24,5971530,42591
8-Aug-16,39,39.27,38.86,39.24,10131279,42590
5-Aug-16,39,39.15,38.9,38.99,9127094,42587
4-Aug-16,38.47,39.03,38.43,38.92,11000843,42586
3-Aug-16,38.43,38.55,38.28,38.39,5890051,42585
2-Aug-16,38.6,38.67,38.26,38.57,7504721,42584
1-Aug-16,38.18,38.89,38.1,38.8,9605006,42583
29-Jul-16,38.47,38.52,38.08,38.19,13199145,42580
28-Jul-16,38.58,38.64,38.23,38.52,7424404,42579
27-Jul-16,38.66,38.77,38.43,38.66,12148433,42578
26-Jul-16,38.07,38.83,37.9,38.76,15978647,42577
25-Jul-16,39.2,39.21,38.22,38.32,41814378,42576
22-Jul-16,38.9,39.42,38.78,39.38,11325660,42573
21-Jul-16,39.01,39.25,38.72,38.85,7671760,42572
20-Jul-16,38.36,38.93,38.26,38.9,8177973,42571
19-Jul-16,37.77,38.49,37.65,38.17,10393957,42570
18-Jul-16,37.68,37.97,37.5,37.95,16046777,42569
15-Jul-16,38.16,38.18,37.68,37.72,13513375,42566
14-Jul-16,37.85,38.35,37.85,37.96,10713015,42565
13-Jul-16,37.99,38.01,37.46,37.64,9566060,42564
12-Jul-16,38,38.33,37.87,37.89,15224047,42563
11-Jul-16,37.44,38.15,37.37,37.96,20342573,42562
8-Jul-16,37.53,37.84,37.06,37.74,8786614,42559
7-Jul-16,37.57,37.76,37.29,37.52,9031440,42558
6-Jul-16,37.43,37.56,37.13,37.51,8328101,42557
5-Jul-16,37.68,37.77,37.17,37.5,8746735,42556
1-Jul-16,37.56,38.08,37.43,37.99,10602792,42552
30-Jun-16,36.89,37.58,36.89,37.56,15209878,42551
29-Jun-16,36.25,37.08,36.25,36.86,10808162,42550
28-Jun-16,35.58,36.14,35.5,36.04,10990713,42549
27-Jun-16,35.87,36.01,35.05,35.22,14157606,42548
24-Jun-16,36.4,36.95,36.08,36.24,19657828,42545
23-Jun-16,37.64,37.78,37.41,37.78,7710892,42544
22-Jun-16,37.37,37.52,37.17,37.36,6279215,42543
21-Jun-16,37.37,37.55,37.2,37.4,5574603,42542
20-Jun-16,37.27,37.68,37.24,37.29,8957313,42541
17-Jun-16,37.43,37.44,36.81,36.94,12593900,42538
16-Jun-16,37.39,37.45,36.54,37.39,10634046,42537
15-Jun-16,37.43,37.6,37.1,37.32,10213170,42536
14-Jun-16,36.63,37.44,36.63,37.4,13023127,42535
13-Jun-16,36.7,36.91,36.42,36.47,6519751,42534
10-Jun-16,36.97,37.14,36.59,36.83,11216470,42531
9-Jun-16,36.82,37.73,36.71,37.35,14759107,42530
8-Jun-16,36.84,37.3,36.84,36.97,9181896,42529
7-Jun-16,36.9,36.99,36.62,36.73,14757059,42528
6-Jun-16,36.67,37.2,36.52,37.07,8426142,42527
3-Jun-16,37.11,37.11,36.5,36.6,12059105,42524
2-Jun-16,36.66,37.22,36.58,37.15,12179259,42523
1-Jun-16,37.25,37.74,36.56,36.65,22177647,42522
31-May-16,37.73,38.08,37.5,37.94,12873630,42521
27-May-16,36.88,37.88,36.84,37.82,14642533,42517
26-May-16,36.13,36.85,36.07,36.76,16277866,42516
25-May-16,36.63,36.96,35.47,35.59,33984864,42515
24-May-16,36.85,37.63,36.77,37.53,10601318,42514
23-May-16,36.46,36.94,36.43,36.66,7768631,42513
20-May-16,36.05,36.72,35.88,36.5,34311031,42510
19-May-16,36.94,37.23,36.67,37.02,7096480,42509
18-May-16,37.09,37.5,36.89,37.24,8465904,42508
17-May-16,37.44,37.7,37.25,37.27,11335505,42507
16-May-16,37.03,37.79,36.88,37.48,16976456,42506
